date,dayOfWeek,weekNumber,createdAt,updatedAt
2020-09-07,1,37,9/7/20 16:41,9/7/20 16:41
2020-09-08,2,37,9/7/20 16:41,9/7/20 16:41
2020-09-09,3,37,9/7/20 16:41,9/7/20 16:41
2020-09-10,4,37,9/7/20 16:41,9/7/20 16:41
2020-09-11,5,37,9/7/20 16:41,9/7/20 16:41
2020-09-12,6,37,9/7/20 16:41,9/7/20 16:41
2020-09-13,0,38,9/7/20 16:41,9/7/20 16:41
2020-09-14,1,38,9/7/20 16:41,9/7/20 16:41
2020-09-15,2,38,9/7/20 16:41,9/7/20 16:41
2020-09-16,3,38,9/7/20 16:41,9/7/20 16:41
2020-09-17,4,38,9/7/20 16:41,9/7/20 16:41
2020-09-18,5,38,9/7/20 16:41,9/7/20 16:41
2020-09-19,6,38,9/7/20 16:41,9/7/20 16:41
2020-09-20,0,39,9/7/20 16:41,9/7/20 16:41
2020-09-21,1,39,9/7/20 16:41,9/7/20 16:41
2020-09-22,2,39,9/7/20 16:41,9/7/20 16:41
2020-09-23,3,39,9/7/20 16:41,9/7/20 16:41
2020-09-24,4,39,9/7/20 16:41,9/7/20 16:41
2020-09-25,5,39,9/7/20 16:41,9/7/20 16:41
2020-09-26,6,39,9/7/20 16:41,9/7/20 16:41
2020-09-27,0,40,9/7/20 16:41,9/7/20 16:41
2020-09-28,1,40,9/7/20 16:41,9/7/20 16:41
2020-09-29,2,40,9/7/20 16:41,9/7/20 16:41
2020-09-30,3,40,9/7/20 16:41,9/7/20 16:41
2020-10-01,4,40,9/7/20 16:41,9/7/20 16:41
2020-10-02,5,40,9/7/20 16:41,9/7/20 16:41
2020-10-03,6,40,9/7/20 16:41,9/7/20 16:41
2020-10-04,0,41,9/7/20 16:41,9/7/20 16:41
2020-10-05,1,41,9/7/20 16:41,9/7/20 16:41
2020-10-06,2,41,9/7/20 16:41,9/7/20 16:41
2020-10-07,3,41,9/7/20 16:41,9/7/20 16:41
2020-10-08,4,41,9/7/20 16:41,9/7/20 16:41
2020-10-09,5,41,9/7/20 16:41,9/7/20 16:41
2020-10-10,6,41,9/7/20 16:41,9/7/20 16:41
2020-10-11,0,42,9/7/20 16:41,9/7/20 16:41
2020-10-12,1,42,9/7/20 16:41,9/7/20 16:41
2020-10-13,2,42,9/7/20 16:41,9/7/20 16:41
2020-10-14,3,42,9/7/20 16:41,9/7/20 16:41
2020-10-15,4,42,9/7/20 16:41,9/7/20 16:41
2020-10-16,5,42,9/7/20 16:41,9/7/20 16:41
2020-10-17,6,42,9/7/20 16:41,9/7/20 16:41
2020-10-18,0,43,9/7/20 16:41,9/7/20 16:41
2020-10-19,1,43,9/7/20 16:41,9/7/20 16:41
2020-10-20,2,43,9/7/20 16:41,9/7/20 16:41
2020-10-21,3,43,9/7/20 16:41,9/7/20 16:41
2020-10-22,4,43,9/7/20 16:41,9/7/20 16:41
2020-10-23,5,43,9/7/20 16:41,9/7/20 16:41
2020-10-24,6,43,9/7/20 16:41,9/7/20 16:41
2020-10-25,0,44,9/7/20 16:41,9/7/20 16:41
2020-10-26,1,44,9/7/20 16:41,9/7/20 16:41
2020-10-27,2,44,9/7/20 16:41,9/7/20 16:41
2020-10-28,3,44,9/7/20 16:41,9/7/20 16:41
2020-10-29,4,44,9/7/20 16:41,9/7/20 16:41
2020-10-30,5,44,9/7/20 16:41,9/7/20 16:41
2020-10-31,6,44,9/7/20 16:41,9/7/20 16:41
2020-11-01,0,45,9/7/20 16:41,9/7/20 16:41
2020-11-02,1,45,9/7/20 16:41,9/7/20 16:41
2020-11-03,2,45,9/7/20 16:41,9/7/20 16:41
2020-11-04,3,45,9/7/20 16:41,9/7/20 16:41
2020-11-05,4,45,9/7/20 16:41,9/7/20 16:41
2020-11-06,5,45,9/7/20 16:41,9/7/20 16:41
2020-11-07,6,45,9/7/20 16:41,9/7/20 16:41
2020-11-08,0,46,9/7/20 16:41,9/7/20 16:41
2020-11-09,1,46,9/7/20 16:41,9/7/20 16:41
2020-11-10,2,46,9/7/20 16:41,9/7/20 16:41
2020-11-11,3,46,9/7/20 16:41,9/7/20 16:41
2020-11-12,4,46,9/7/20 16:41,9/7/20 16:41
2020-11-13,5,46,9/7/20 16:41,9/7/20 16:41
2020-11-14,6,46,9/7/20 16:41,9/7/20 16:41
2020-11-15,0,47,9/7/20 16:41,9/7/20 16:41
2020-11-16,1,47,9/7/20 16:41,9/7/20 16:41
2020-11-17,2,47,9/7/20 16:41,9/7/20 16:41
2020-11-18,3,47,9/7/20 16:41,9/7/20 16:41
2020-11-19,4,47,9/7/20 16:41,9/7/20 16:41
2020-11-20,5,47,9/7/20 16:41,9/7/20 16:41
2020-11-21,6,47,9/7/20 16:41,9/7/20 16:41
2020-11-22,0,48,9/7/20 16:41,9/7/20 16:41
2020-11-23,1,48,9/7/20 16:41,9/7/20 16:41
2020-11-24,2,48,9/7/20 16:41,9/7/20 16:41
2020-11-25,3,48,9/7/20 16:41,9/7/20 16:41
2020-11-26,4,48,9/7/20 16:41,9/7/20 16:41
2020-11-27,5,48,9/7/20 16:41,9/7/20 16:41
2020-11-28,6,48,9/7/20 16:41,9/7/20 16:41
2020-11-29,0,49,9/7/20 16:41,9/7/20 16:41
2020-11-30,1,49,9/7/20 16:41,9/7/20 16:41
2020-12-01,2,49,9/7/20 16:41,9/7/20 16:41
2020-12-02,3,49,9/7/20 16:41,9/7/20 16:41
2020-12-03,4,49,9/7/20 16:41,9/7/20 16:41
2020-12-04,5,49,9/7/20 16:41,9/7/20 16:41
2020-12-05,6,49,9/7/20 16:41,9/7/20 16:41
2020-12-06,0,50,9/7/20 16:41,9/7/20 16:41
2020-12-07,1,50,9/7/20 16:41,9/7/20 16:41
2020-12-08,2,50,9/7/20 16:41,9/7/20 16:41
2020-12-09,3,50,9/7/20 16:41,9/7/20 16:41
2020-12-10,4,50,9/7/20 16:41,9/7/20 16:41
2020-12-11,5,50,9/7/20 16:41,9/7/20 16:41
2020-12-12,6,50,9/7/20 16:41,9/7/20 16:41
2020-12-13,0,51,9/7/20 16:41,9/7/20 16:41
2020-12-14,1,51,9/7/20 16:41,9/7/20 16:41
2020-12-15,2,51,9/7/20 16:41,9/7/20 16:41
2020-12-16,3,51,9/7/20 16:41,9/7/20 16:41
2020-12-17,4,51,9/7/20 16:41,9/7/20 16:41
2020-12-18,5,51,9/7/20 16:41,9/7/20 16:41
2020-12-19,6,51,9/7/20 16:41,9/7/20 16:41
2020-12-20,0,52,9/7/20 16:41,9/7/20 16:41
2020-12-21,1,52,9/7/20 16:41,9/7/20 16:41
2020-12-22,2,52,9/7/20 16:41,9/7/20 16:41
2020-12-23,3,52,9/7/20 16:41,9/7/20 16:41
2020-12-24,4,52,9/7/20 16:41,9/7/20 16:41
2020-12-25,5,52,9/7/20 16:41,9/7/20 16:41
2020-12-26,6,52,9/7/20 16:41,9/7/20 16:41
2020-12-27,0,1,9/7/20 16:41,9/7/20 16:41
2020-12-28,1,1,9/7/20 16:41,9/7/20 16:41
2020-12-29,2,1,9/7/20 16:41,9/7/20 16:41
2020-12-30,3,1,9/7/20 16:41,9/7/20 16:41
2020-12-31,4,1,9/7/20 16:41,9/7/20 16:41
2021-01-01,5,1,9/7/20 16:41,9/7/20 16:41
2021-01-02,6,1,9/7/20 16:41,9/7/20 16:41
2021-01-03,0,2,9/7/20 16:41,9/7/20 16:41
2021-01-04,1,2,9/7/20 16:41,9/7/20 16:41
2021-01-05,2,2,9/7/20 16:41,9/7/20 16:41
2021-01-06,3,2,9/7/20 16:41,9/7/20 16:41
2021-01-07,4,2,9/7/20 16:41,9/7/20 16:41
2021-01-08,5,2,9/7/20 16:41,9/7/20 16:41
2021-01-09,6,2,9/7/20 16:41,9/7/20 16:41
2021-01-10,0,3,9/7/20 16:41,9/7/20 16:41
2021-01-11,1,3,9/7/20 16:41,9/7/20 16:41
2021-01-12,2,3,9/7/20 16:41,9/7/20 16:41
2021-01-13,3,3,9/7/20 16:41,9/7/20 16:41
2021-01-14,4,3,9/7/20 16:41,9/7/20 16:41
2021-01-15,5,3,9/7/20 16:41,9/7/20 16:41
2021-01-16,6,3,9/7/20 16:41,9/7/20 16:41
2021-01-17,0,4,9/7/20 16:41,9/7/20 16:41
2021-01-18,1,4,9/7/20 16:41,9/7/20 16:41
2021-01-19,2,4,9/7/20 16:41,9/7/20 16:41
2021-01-20,3,4,9/7/20 16:41,9/7/20 16:41
2021-01-21,4,4,9/7/20 16:41,9/7/20 16:41
2021-01-22,5,4,9/7/20 16:41,9/7/20 16:41
2021-01-23,6,4,9/7/20 16:41,9/7/20 16:41
2021-01-24,0,5,9/7/20 16:41,9/7/20 16:41
2021-01-25,1,5,9/7/20 16:41,9/7/20 16:41
2021-01-26,2,5,9/7/20 16:41,9/7/20 16:41
2021-01-27,3,5,9/7/20 16:41,9/7/20 16:41
2021-01-28,4,5,9/7/20 16:41,9/7/20 16:41
2021-01-29,5,5,9/7/20 16:41,9/7/20 16:41
2021-01-30,6,5,9/7/20 16:41,9/7/20 16:41
2021-01-31,0,6,9/7/20 16:41,9/7/20 16:41
2021-02-01,1,6,9/7/20 16:41,9/7/20 16:41
2021-02-02,2,6,9/7/20 16:41,9/7/20 16:41
2021-02-03,3,6,9/7/20 16:41,9/7/20 16:41
2021-02-04,4,6,9/7/20 16:41,9/7/20 16:41
2021-02-05,5,6,9/7/20 16:41,9/7/20 16:41
2021-02-06,6,6,9/7/20 16:41,9/7/20 16:41
2021-02-07,0,7,9/7/20 16:41,9/7/20 16:41
2021-02-08,1,7,9/7/20 16:41,9/7/20 16:41
2021-02-09,2,7,9/7/20 16:41,9/7/20 16:41
2021-02-10,3,7,9/7/20 16:41,9/7/20 16:41
2021-02-11,4,7,9/7/20 16:41,9/7/20 16:41
2021-02-12,5,7,9/7/20 16:41,9/7/20 16:41
2021-02-13,6,7,9/7/20 16:41,9/7/20 16:41
2021-02-14,0,8,9/7/20 16:41,9/7/20 16:41
2021-02-15,1,8,9/7/20 16:41,9/7/20 16:41
2021-02-16,2,8,9/7/20 16:41,9/7/20 16:41
2021-02-17,3,8,9/7/20 16:41,9/7/20 16:41
2021-02-18,4,8,9/7/20 16:41,9/7/20 16:41
2021-02-19,5,8,9/7/20 16:41,9/7/20 16:41
2021-02-20,6,8,9/7/20 16:41,9/7/20 16:41
2021-02-21,0,9,9/7/20 16:41,9/7/20 16:41
2021-02-22,1,9,9/7/20 16:41,9/7/20 16:41
2021-02-23,2,9,9/7/20 16:41,9/7/20 16:41
2021-02-24,3,9,9/7/20 16:41,9/7/20 16:41
2021-02-25,4,9,9/7/20 16:41,9/7/20 16:41
2021-02-26,5,9,9/7/20 16:41,9/7/20 16:41
2021-02-27,6,9,9/7/20 16:41,9/7/20 16:41
2021-02-28,0,10,9/7/20 16:41,9/7/20 16:41
2021-03-01,1,10,9/7/20 16:41,9/7/20 16:41
2021-03-02,2,10,9/7/20 16:41,9/7/20 16:41
2021-03-03,3,10,9/7/20 16:41,9/7/20 16:41
2021-03-04,4,10,9/7/20 16:41,9/7/20 16:41
2021-03-05,5,10,9/7/20 16:41,9/7/20 16:41
2021-03-06,6,10,9/7/20 16:41,9/7/20 16:41
2021-03-07,0,11,9/7/20 16:41,9/7/20 16:41
2021-03-08,1,11,9/7/20 16:41,9/7/20 16:41
2021-03-09,2,11,9/7/20 16:41,9/7/20 16:41
2021-03-10,3,11,9/7/20 16:41,9/7/20 16:41
2021-03-11,4,11,9/7/20 16:41,9/7/20 16:41
2021-03-12,5,11,9/7/20 16:41,9/7/20 16:41
2021-03-13,6,11,9/7/20 16:41,9/7/20 16:41
2021-03-14,0,12,9/7/20 16:41,9/7/20 16:41
2021-03-15,1,12,9/7/20 16:41,9/7/20 16:41
2021-03-16,2,12,9/7/20 16:41,9/7/20 16:41
2021-03-17,3,12,9/7/20 16:41,9/7/20 16:41
2021-03-18,4,12,9/7/20 16:41,9/7/20 16:41
2021-03-19,5,12,9/7/20 16:41,9/7/20 16:41
2021-03-20,6,12,9/7/20 16:41,9/7/20 16:41
2021-03-21,0,13,9/7/20 16:41,9/7/20 16:41
2021-03-22,1,13,9/7/20 16:41,9/7/20 16:41
2021-03-23,2,13,9/7/20 16:41,9/7/20 16:41
2021-03-24,3,13,9/7/20 16:41,9/7/20 16:41
2021-03-25,4,13,9/7/20 16:41,9/7/20 16:41
2021-03-26,5,13,9/7/20 16:41,9/7/20 16:41
2021-03-27,6,13,9/7/20 16:41,9/7/20 16:41
2021-03-28,0,14,9/7/20 16:41,9/7/20 16:41
2021-03-29,1,14,9/7/20 16:41,9/7/20 16:41
2021-03-30,2,14,9/7/20 16:41,9/7/20 16:41
2021-03-31,3,14,9/7/20 16:41,9/7/20 16:41
2021-04-01,4,14,9/7/20 16:41,9/7/20 16:41
2021-04-02,5,14,9/7/20 16:41,9/7/20 16:41
2021-04-03,6,14,9/7/20 16:41,9/7/20 16:41
2021-04-04,0,15,9/7/20 16:41,9/7/20 16:41
2021-04-05,1,15,9/7/20 16:41,9/7/20 16:41
2021-04-06,2,15,9/7/20 16:41,9/7/20 16:41
2021-04-07,3,15,9/7/20 16:41,9/7/20 16:41
2021-04-08,4,15,9/7/20 16:41,9/7/20 16:41
2021-04-09,5,15,9/7/20 16:41,9/7/20 16:41
2021-04-10,6,15,9/7/20 16:41,9/7/20 16:41
2021-04-11,0,16,9/7/20 16:41,9/7/20 16:41
2021-04-12,1,16,9/7/20 16:41,9/7/20 16:41
2021-04-13,2,16,9/7/20 16:41,9/7/20 16:41
2021-04-14,3,16,9/7/20 16:41,9/7/20 16:41
2021-04-15,4,16,9/7/20 16:41,9/7/20 16:41
2021-04-16,5,16,9/7/20 16:41,9/7/20 16:41
2021-04-17,6,16,9/7/20 16:41,9/7/20 16:41
2021-04-18,0,17,9/7/20 16:41,9/7/20 16:41
2021-04-19,1,17,9/7/20 16:41,9/7/20 16:41
2021-04-20,2,17,9/7/20 16:41,9/7/20 16:41
2021-04-21,3,17,9/7/20 16:41,9/7/20 16:41
2021-04-22,4,17,9/7/20 16:41,9/7/20 16:41
2021-04-23,5,17,9/7/20 16:41,9/7/20 16:41
2021-04-24,6,17,9/7/20 16:41,9/7/20 16:41
2021-04-25,0,18,9/7/20 16:41,9/7/20 16:41
2021-04-26,1,18,9/7/20 16:41,9/7/20 16:41
2021-04-27,2,18,9/7/20 16:41,9/7/20 16:41
2021-04-28,3,18,9/7/20 16:41,9/7/20 16:41
2021-04-29,4,18,9/7/20 16:41,9/7/20 16:41
2021-04-30,5,18,9/7/20 16:41,9/7/20 16:41
2021-05-01,6,18,9/7/20 16:41,9/7/20 16:41
2021-05-02,0,19,9/7/20 16:41,9/7/20 16:41
2021-05-03,1,19,9/7/20 16:41,9/7/20 16:41
2021-05-04,2,19,9/7/20 16:41,9/7/20 16:41
2021-05-05,3,19,9/7/20 16:41,9/7/20 16:41
2021-05-06,4,19,9/7/20 16:41,9/7/20 16:41
2021-05-07,5,19,9/7/20 16:41,9/7/20 16:41
2021-05-08,6,19,9/7/20 16:41,9/7/20 16:41
2021-05-09,0,20,9/7/20 16:41,9/7/20 16:41
2021-05-10,1,20,9/7/20 16:41,9/7/20 16:41
2021-05-11,2,20,9/7/20 16:41,9/7/20 16:41
2021-05-12,3,20,9/7/20 16:41,9/7/20 16:41
2021-05-13,4,20,9/7/20 16:41,9/7/20 16:41
2021-05-14,5,20,9/7/20 16:41,9/7/20 16:41
2021-05-15,6,20,9/7/20 16:41,9/7/20 16:41
2021-05-16,0,21,9/7/20 16:41,9/7/20 16:41
2021-05-17,1,21,9/7/20 16:41,9/7/20 16:41
2021-05-18,2,21,9/7/20 16:41,9/7/20 16:41
2021-05-19,3,21,9/7/20 16:41,9/7/20 16:41
2021-05-20,4,21,9/7/20 16:41,9/7/20 16:41
2021-05-21,5,21,9/7/20 16:41,9/7/20 16:41
2021-05-22,6,21,9/7/20 16:41,9/7/20 16:41
2021-05-23,0,22,9/7/20 16:41,9/7/20 16:41
2021-05-24,1,22,9/7/20 16:41,9/7/20 16:41
2021-05-25,2,22,9/7/20 16:41,9/7/20 16:41
2021-05-26,3,22,9/7/20 16:41,9/7/20 16:41
2021-05-27,4,22,9/7/20 16:41,9/7/20 16:41
2021-05-28,5,22,9/7/20 16:41,9/7/20 16:41
2021-05-29,6,22,9/7/20 16:41,9/7/20 16:41
2021-05-30,0,23,9/7/20 16:41,9/7/20 16:41
2021-05-31,1,23,9/7/20 16:41,9/7/20 16:41
2021-06-01,2,23,9/7/20 16:41,9/7/20 16:41
2021-06-02,3,23,9/7/20 16:41,9/7/20 16:41
2021-06-03,4,23,9/7/20 16:41,9/7/20 16:41
2021-06-04,5,23,9/7/20 16:41,9/7/20 16:41
2021-06-05,6,23,9/7/20 16:41,9/7/20 16:41
2021-06-06,0,24,9/7/20 16:41,9/7/20 16:41
2021-06-07,1,24,9/7/20 16:41,9/7/20 16:41
2021-06-08,2,24,9/7/20 16:41,9/7/20 16:41
2021-06-09,3,24,9/7/20 16:41,9/7/20 16:41
2021-06-10,4,24,9/7/20 16:41,9/7/20 16:41
2021-06-11,5,24,9/7/20 16:41,9/7/20 16:41
2021-06-12,6,24,9/7/20 16:41,9/7/20 16:41
2021-06-13,0,25,9/7/20 16:41,9/7/20 16:41
2021-06-14,1,25,9/7/20 16:41,9/7/20 16:41
2021-06-15,2,25,9/7/20 16:41,9/7/20 16:41
2021-06-16,3,25,9/7/20 16:41,9/7/20 16:41
2021-06-17,4,25,9/7/20 16:41,9/7/20 16:41
2021-06-18,5,25,9/7/20 16:41,9/7/20 16:41
2021-06-19,6,25,9/7/20 16:41,9/7/20 16:41
2021-06-20,0,26,9/7/20 16:41,9/7/20 16:41
2021-06-21,1,26,9/7/20 16:41,9/7/20 16:41
2021-06-22,2,26,9/7/20 16:41,9/7/20 16:41
2021-06-23,3,26,9/7/20 16:41,9/7/20 16:41
2021-06-24,4,26,9/7/20 16:41,9/7/20 16:41
2021-06-25,5,26,9/7/20 16:41,9/7/20 16:41
2021-06-26,6,26,9/7/20 16:41,9/7/20 16:41
2021-06-27,0,27,9/7/20 16:41,9/7/20 16:41
2021-06-28,1,27,9/7/20 16:41,9/7/20 16:41
2021-06-29,2,27,9/7/20 16:41,9/7/20 16:41
2021-06-30,3,27,9/7/20 16:41,9/7/20 16:41
2021-07-01,4,27,9/7/20 16:41,9/7/20 16:41
2021-07-02,5,27,9/7/20 16:41,9/7/20 16:41
2021-07-03,6,27,9/7/20 16:41,9/7/20 16:41
2021-07-04,0,28,9/7/20 16:41,9/7/20 16:41
2021-07-05,1,28,9/7/20 16:41,9/7/20 16:41
2021-07-06,2,28,9/7/20 16:41,9/7/20 16:41
2021-07-07,3,28,9/7/20 16:41,9/7/20 16:41
2021-07-08,4,28,9/7/20 16:41,9/7/20 16:41
2021-07-09,5,28,9/7/20 16:41,9/7/20 16:41
2021-07-10,6,28,9/7/20 16:41,9/7/20 16:41
2021-07-11,0,29,9/7/20 16:41,9/7/20 16:41
2021-07-12,1,29,9/7/20 16:41,9/7/20 16:41
2021-07-13,2,29,9/7/20 16:41,9/7/20 16:41
2021-07-14,3,29,9/7/20 16:41,9/7/20 16:41
2021-07-15,4,29,9/7/20 16:41,9/7/20 16:41
2021-07-16,5,29,9/7/20 16:41,9/7/20 16:41
2021-07-17,6,29,9/7/20 16:41,9/7/20 16:41
2021-07-18,0,30,9/7/20 16:41,9/7/20 16:41
2021-07-19,1,30,9/7/20 16:41,9/7/20 16:41
2021-07-20,2,30,9/7/20 16:41,9/7/20 16:41
2021-07-21,3,30,9/7/20 16:41,9/7/20 16:41
2021-07-22,4,30,9/7/20 16:41,9/7/20 16:41
2021-07-23,5,30,9/7/20 16:41,9/7/20 16:41
2021-07-24,6,30,9/7/20 16:41,9/7/20 16:41
2021-07-25,0,31,9/7/20 16:41,9/7/20 16:41
2021-07-26,1,31,9/7/20 16:41,9/7/20 16:41
2021-07-27,2,31,9/7/20 16:41,9/7/20 16:41
2021-07-28,3,31,9/7/20 16:41,9/7/20 16:41
2021-07-29,4,31,9/7/20 16:41,9/7/20 16:41
2021-07-30,5,31,9/7/20 16:41,9/7/20 16:41
2021-07-31,6,31,9/7/20 16:41,9/7/20 16:41
2021-08-01,0,32,9/7/20 16:41,9/7/20 16:41
2021-08-02,1,32,9/7/20 16:41,9/7/20 16:41
2021-08-03,2,32,9/7/20 16:41,9/7/20 16:41
2021-08-04,3,32,9/7/20 16:41,9/7/20 16:41
2021-08-05,4,32,9/7/20 16:41,9/7/20 16:41
2021-08-06,5,32,9/7/20 16:41,9/7/20 16:41
2021-08-07,6,32,9/7/20 16:41,9/7/20 16:41
2021-08-08,0,33,9/7/20 16:41,9/7/20 16:41
2021-08-09,1,33,9/7/20 16:41,9/7/20 16:41
2021-08-10,2,33,9/7/20 16:41,9/7/20 16:41
2021-08-11,3,33,9/7/20 16:41,9/7/20 16:41
2021-08-12,4,33,9/7/20 16:41,9/7/20 16:41
2021-08-13,5,33,9/7/20 16:41,9/7/20 16:41
2021-08-14,6,33,9/7/20 16:41,9/7/20 16:41
2021-08-15,0,34,9/7/20 16:41,9/7/20 16:41
2021-08-16,1,34,9/7/20 16:41,9/7/20 16:41
2021-08-17,2,34,9/7/20 16:41,9/7/20 16:41
2021-08-18,3,34,9/7/20 16:41,9/7/20 16:41
2021-08-19,4,34,9/7/20 16:41,9/7/20 16:41
2021-08-20,5,34,9/7/20 16:41,9/7/20 16:41
2021-08-21,6,34,9/7/20 16:41,9/7/20 16:41
2021-08-22,0,35,9/7/20 16:41,9/7/20 16:41
2021-08-23,1,35,9/7/20 16:41,9/7/20 16:41
2021-08-24,2,35,9/7/20 16:41,9/7/20 16:41
2021-08-25,3,35,9/7/20 16:41,9/7/20 16:41
2021-08-26,4,35,9/7/20 16:41,9/7/20 16:41
2021-08-27,5,35,9/7/20 16:41,9/7/20 16:41
2021-08-28,6,35,9/7/20 16:41,9/7/20 16:41
2021-08-29,0,36,9/7/20 16:41,9/7/20 16:41
2021-08-30,1,36,9/7/20 16:41,9/7/20 16:41
2021-08-31,2,36,9/7/20 16:41,9/7/20 16:41
2021-09-01,3,36,9/7/20 16:41,9/7/20 16:41
2021-09-02,4,36,9/7/20 16:41,9/7/20 16:41
2021-09-03,5,36,9/7/20 16:41,9/7/20 16:41
2021-09-04,6,36,9/7/20 16:41,9/7/20 16:41
2021-09-05,0,37,9/7/20 16:41,9/7/20 16:41
2021-09-06,1,37,9/7/20 16:41,9/7/20 16:41